produto_id,nome,categoria,preco
1,Pay,Casa,1850.14
2,Lawyer,Roupas,1755.91
3,Though,Esporte,523.3
4,Tell,Eletrônicos,1323.37
5,Develop,Eletrônicos,1636.27
6,Medical,Eletrônicos,1114.85
7,Yard,Eletrônicos,1064.0
8,Speech,Casa,491.29
9,Former,Eletrônicos,195.27
10,Head,Esporte,1795.46
11,Own,Alimentos,1801.83
12,Everyone,Eletrônicos,1269.87
13,Office,Casa,684.67
14,Back,Casa,704.93
15,Enough,Eletrônicos,1454.65
16,Work,Alimentos,1795.25
17,Art,Eletrônicos,1775.3
18,Tend,Casa,1561.95
19,Pretty,Roupas,1287.64
20,Heavy,Esporte,177.44
21,Authority,Casa,331.64
22,Look,Eletrônicos,1798.12
23,His,Esporte,1216.79
24,State,Eletrônicos,28.3
25,Break,Eletrônicos,211.93
26,Outside,Roupas,1330.37
27,Himself,Esporte,20.07
28,Strategy,Esporte,330.01
29,Suffer,Roupas,1101.98
30,Central,Casa,1386.87
31,Something,Eletrônicos,1307.4
32,Attack,Alimentos,456.3
33,Himself,Eletrônicos,1427.24
34,Serious,Eletrônicos,482.13
35,Build,Casa,657.55
36,Cause,Eletrônicos,1495.52
37,Attention,Roupas,1302.77
38,Reach,Roupas,1699.95
39,Property,Esporte,1318.65
40,Its,Alimentos,1140.93
41,Yeah,Eletrônicos,196.41
42,Explain,Eletrônicos,741.75
43,Manage,Casa,537.75
44,Safe,Roupas,495.54
45,Story,Alimentos,1946.29
46,Opportunity,Esporte,792.26
47,Mr,Roupas,1785.17
48,Wonder,Esporte,1265.97
49,Pull,Casa,1591.67
50,Risk,Casa,1010.25
51,By,Eletrônicos,1158.04
52,Wait,Alimentos,990.11
53,Do,Esporte,398.53
54,Pm,Roupas,1447.68
55,Ago,Casa,568.74
56,Civil,Eletrônicos,58.39
57,Few,Eletrônicos,1294.49
58,Tough,Esporte,362.45
59,Gun,Casa,1881.51
60,Per,Alimentos,1908.32
61,Again,Casa,1830.58
62,New,Esporte,746.62
63,Yet,Esporte,40.76
64,Author,Casa,1857.35
65,Evening,Esporte,862.09
66,Bag,Casa,1933.64
67,South,Roupas,1927.6
68,Act,Casa,1707.49
69,Poor,Casa,595.95
70,Note,Esporte,776.34
71,End,Esporte,1703.76
72,Policy,Eletrônicos,640.67
73,Region,Eletrônicos,347.29
74,Without,Roupas,1118.03
75,Matter,Eletrônicos,1872.95
76,Six,Casa,1395.1
77,Cut,Esporte,1144.42
78,Member,Eletrônicos,203.38
79,According,Eletrônicos,1233.86
80,Include,Roupas,1980.21
